subno,condition,torder,tid,time,diff,eff,wgcon,wgcom,wta,wea,correct,incorrect,goal,wfocalgpd,correctnc,incorrectnc,wtlin
107,1,8,11,60,7,10,9,10,-1,-3,4,0,2,2,4,0,-2
107,1,8,11,120,7,10,10,10,-3,-3,4,1,2,1,0,1,-1
107,1,8,11,180,7,10,10,10,-1,-1,5,2,2,0,1,1,0
107,1,8,11,240,6,10,10,10,-2,-2,6,2,2,0,1,0,1
107,1,8,11,300,8,10,0,0,5,5,7,3,2,-1,1,1,2
107,1,9,4,60,6,6,6,6,0,0,1,1,2,1,1,1,-2
107,1,9,4,120,7,10,10,10,3,3,4,1,2,1,3,0,-1
107,1,9,4,180,6,10,9,10,5,5,5,2,2,0,1,1,0
107,1,9,4,240,7,10,0,0,5,-4,5,3,2,-1,0,1,1
107,1,9,4,300,2,9,0,0,4,-5,6,4,2,-2,1,1,2
107,1,10,10,60,5,10,10,10,-1,-1,3,1,2,1,3,1,-2
107,1,10,10,120,5,10,10,10,-1,-3,4,1,2,1,1,0,-1
107,1,10,10,180,6,10,9,10,-1,-3,5,2,2,0,1,1,0
107,1,10,10,240,5,10,10,10,-1,-3,6,2,2,0,1,0,1
107,1,10,10,300,6,10,0,0,4,-3,6,4,2,-2,0,2,2
107,1,11,6,60,5,10,10,10,0,-5,4,0,4,4,4,0,-2
107,1,11,6,120,6,10,10,10,0,-5,4,0,4,4,0,0,-1
107,1,11,6,180,5,10,10,10,0,-5,8,0,4,4,4,0,0
107,1,11,6,240,4,7,10,10,0,-5,8,1,4,3,0,1,1
107,1,11,6,300,4,4,10,10,-5,-5,9,1,4,3,1,0,2
108,-1,2,6,60,5,7,4,0,0,0,2,2,10,-8,2,2,-2
108,-1,2,6,120,4,5,0,0,0,0,3,3,10,-7,1,1,-1
108,-1,2,6,180,5,5,0,0,0,0,4,3,10,-6,1,0,0
108,-1,2,6,240,5,5,0,0,0,0,6,4,10,-4,2,1,1
108,-1,2,6,300,5,0,0,0,0,0,6,4,10,-4,0,0,2
108,-1,3,2,60,4,7,1,1,0,0,3,2,10,-7,3,2,-2
108,-1,3,2,120,5,5,0,0,0,0,5,2,10,-5,2,0,-1
